mesto;koordinaty
Даблби;37.596066293702265, 55.75200593720353
CostaCofeee;37.607473513189404, 55.74723354211104
Альпака и кофе;37.59587629004674, 55.7476068480891
Кофейня на Остоженке;37.5988001444691, 55.74239524136914
Old Cringer;37.592865941785895, 55.73882662984558
Шоколадница;37.59050366843223, 55.74979883466208
Шарлин;37.589284055780944, 55.742632469378314
Академия;37.60188084433043, 55.73809214258789
I Love cake;37.598625595375786, 55.75087242027555
One Price Coffee;37.584013025044456, 55.748341689467864
